feature_name,feature_category,nan_pct_overall,nan_pct_when_has_valid_ohlc,keep_for_regime,keep_for_feature
turnover,contract_microstructure,100.0,100.0,Y,Y
volume,contract_microstructure,100.0,100.0,Y,Y
pcr_volume,contract_microstructure,100.0,100.0,Y,Y
delta_pcr_volume,contract_microstructure,100.0,100.0,Y,Y
no_of_contracts,contract_microstructure,60.7631,60.7631,Y,Y
oi,contract_microstructure,50.5593,50.5593,Y,Y
oi_atm_pct_1,contract_microstructure,36.1367,36.1367,Y,Y
oi_atm_pct_2,contract_microstructure,36.1367,36.1367,Y,Y
oi_atm_pct_3,contract_microstructure,36.1367,36.1367,Y,Y
pcr_oi,contract_microstructure,6.2833,6.2833,Y,Y
volume_weighted_strike_dispersion,identifier_or_metadata,100.0,100.0,N,N
underlying_value,identifier_or_metadata,33.122,33.122,N,N
atm_strike_x,identifier_or_metadata,32.9028,32.9028,N,N
atm_strike_y,identifier_or_metadata,32.9028,32.9028,N,N
atm_strike,identifier_or_metadata,32.9028,32.9028,N,N
strike_entropy,identifier_or_metadata,4.7548,4.7548,N,N
front_expiry_oi_share,identifier_or_metadata,0.1487,0.1487,N,N
symbol,identifier_or_metadata,0.0,0.0,N,N
date,identifier_or_metadata,0.0,0.0,N,N
expiry,identifier_or_metadata,0.0,0.0,N,N
option_type,identifier_or_metadata,0.0,0.0,N,N
strike,identifier_or_metadata,0.0,0.0,N,N
source_file,identifier_or_metadata,0.0,0.0,N,N
is_liquid,identifier_or_metadata,0.0,0.0,N,N
dte_days,identifier_or_metadata,0.0,0.0,N,N
is_tradable_30d,identifier_or_metadata,0.0,0.0,N,N
traded_strikes_count,identifier_or_metadata,0.0,0.0,N,N
open,price_derived,60.7631,60.7631,N,Y
high,price_derived,60.7631,60.7631,N,Y
low,price_derived,60.7631,60.7631,N,Y
ltp,price_derived,49.5454,49.5454,N,Y
atm_straddle_price_x,price_derived,32.934,32.934,N,Y
atm_straddle_price_y,price_derived,32.934,32.934,N,Y
atm_straddle_price,price_derived,32.934,32.934,N,Y
settle_price,price_derived,3.9251,3.9251,N,Y
close,price_derived,0.0,0.0,N,Y
iv,surface_smile_atm,49.233,49.233,Y,N
delta,surface_smile_atm,49.233,49.233,Y,N
iv_call_25d_x,surface_smile_atm,34.4432,34.4432,Y,N
skew_25d_x,surface_smile_atm,34.4432,34.4432,Y,N
iv_ratio_25d_x,surface_smile_atm,34.4432,34.4432,Y,N
smile_curvature_25d_x,surface_smile_atm,34.4432,34.4432,Y,N
iv_call_25d_y,surface_smile_atm,34.4432,34.4432,Y,N
skew_25d_y,surface_smile_atm,34.4432,34.4432,Y,N
iv_ratio_25d_y,surface_smile_atm,34.4432,34.4432,Y,N
smile_curvature_25d_y,surface_smile_atm,34.4432,34.4432,Y,N
iv_call_25d,surface_smile_atm,34.4432,34.4432,Y,N
skew_25d,surface_smile_atm,34.4432,34.4432,Y,N
iv_ratio_25d,surface_smile_atm,34.4432,34.4432,Y,N
smile_curvature_25d,surface_smile_atm,34.4432,34.4432,Y,N
iv_put_25d_x,surface_smile_atm,34.0774,34.0774,Y,N
atm_iv_x,surface_smile_atm,34.0774,34.0774,Y,N
iv_put_25d_y,surface_smile_atm,34.0774,34.0774,Y,N
atm_iv_y,surface_smile_atm,34.0774,34.0774,Y,N
iv_put_25d,surface_smile_atm,34.0774,34.0774,Y,N
atm_iv,surface_smile_atm,34.0774,34.0774,Y,N
atm_pair_missing_x,surface_smile_atm,0.0,0.0,Y,N
atm_pair_missing_y,surface_smile_atm,0.0,0.0,Y,N
atm_pair_missing,surface_smile_atm,0.0,0.0,Y,N
