feature_name,feature_category,nan_pct_overall,nan_pct_when_has_valid_ohlc,keep_for_regime,keep_for_feature
turnover,contract_microstructure,100.0,100.0,Y,Y
volume,contract_microstructure,100.0,100.0,Y,Y
pcr_volume,contract_microstructure,100.0,100.0,Y,Y
delta_pcr_volume,contract_microstructure,100.0,100.0,Y,Y
no_of_contracts,contract_microstructure,59.3842,59.3842,Y,Y
oi,contract_microstructure,49.238,49.238,Y,Y
oi_atm_pct_1,contract_microstructure,35.9618,35.9618,Y,Y
oi_atm_pct_2,contract_microstructure,35.9618,35.9618,Y,Y
oi_atm_pct_3,contract_microstructure,35.9618,35.9618,Y,Y
pcr_oi,contract_microstructure,6.3855,6.3855,Y,Y
volume_weighted_strike_dispersion,identifier_or_metadata,100.0,100.0,N,N
underlying_value,identifier_or_metadata,33.7669,33.7669,N,N
atm_strike_x,identifier_or_metadata,33.4089,33.4089,N,N
atm_strike_y,identifier_or_metadata,33.4089,33.4089,N,N
atm_strike,identifier_or_metadata,33.4089,33.4089,N,N
strike_entropy,identifier_or_metadata,4.8197,4.8197,N,N
front_expiry_oi_share,identifier_or_metadata,0.0987,0.0987,N,N
symbol,identifier_or_metadata,0.0,0.0,N,N
date,identifier_or_metadata,0.0,0.0,N,N
expiry,identifier_or_metadata,0.0,0.0,N,N
option_type,identifier_or_metadata,0.0,0.0,N,N
strike,identifier_or_metadata,0.0,0.0,N,N
source_file,identifier_or_metadata,0.0,0.0,N,N
is_liquid,identifier_or_metadata,0.0,0.0,N,N
dte_days,identifier_or_metadata,0.0,0.0,N,N
is_tradable_30d,identifier_or_metadata,0.0,0.0,N,N
traded_strikes_count,identifier_or_metadata,0.0,0.0,N,N
open,price_derived,59.3842,59.3842,N,Y
high,price_derived,59.3842,59.3842,N,Y
low,price_derived,59.3842,59.3842,N,Y
ltp,price_derived,48.22,48.22,N,Y
atm_straddle_price_x,price_derived,33.4398,33.4398,N,Y
atm_straddle_price_y,price_derived,33.4398,33.4398,N,Y
atm_straddle_price,price_derived,33.4398,33.4398,N,Y
settle_price,price_derived,4.2843,4.2843,N,Y
close,price_derived,0.0,0.0,N,Y
iv,surface_smile_atm,50.3429,50.3429,Y,N
delta,surface_smile_atm,50.3429,50.3429,Y,N
iv_call_25d_x,surface_smile_atm,36.2813,36.2813,Y,N
skew_25d_x,surface_smile_atm,36.2813,36.2813,Y,N
iv_ratio_25d_x,surface_smile_atm,36.2813,36.2813,Y,N
smile_curvature_25d_x,surface_smile_atm,36.2813,36.2813,Y,N
iv_call_25d_y,surface_smile_atm,36.2813,36.2813,Y,N
skew_25d_y,surface_smile_atm,36.2813,36.2813,Y,N
iv_ratio_25d_y,surface_smile_atm,36.2813,36.2813,Y,N
smile_curvature_25d_y,surface_smile_atm,36.2813,36.2813,Y,N
iv_call_25d,surface_smile_atm,36.2813,36.2813,Y,N
skew_25d,surface_smile_atm,36.2813,36.2813,Y,N
iv_ratio_25d,surface_smile_atm,36.2813,36.2813,Y,N
smile_curvature_25d,surface_smile_atm,36.2813,36.2813,Y,N
iv_put_25d_x,surface_smile_atm,35.7075,35.7075,Y,N
atm_iv_x,surface_smile_atm,35.7075,35.7075,Y,N
iv_put_25d_y,surface_smile_atm,35.7075,35.7075,Y,N
atm_iv_y,surface_smile_atm,35.7075,35.7075,Y,N
iv_put_25d,surface_smile_atm,35.7075,35.7075,Y,N
atm_iv,surface_smile_atm,35.7075,35.7075,Y,N
atm_pair_missing_x,surface_smile_atm,0.0,0.0,Y,N
atm_pair_missing_y,surface_smile_atm,0.0,0.0,Y,N
atm_pair_missing,surface_smile_atm,0.0,0.0,Y,N
